MODEL,SCENARIO,REGION,VARIABLE,UNIT,2005,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100
MESSAGE-GLOBIOM,SSP2-45,World,Primary Energy|Gas|w/o CCS,EJ/yr,100.458,105.706,123.163,156.878,204.03,247.435,281.914,298.676,289.608,230.753,212.241
MESSAGE-GLOBIOM,SSP2-45,World,Primary Energy|Geothermal,EJ/yr,0.358,0.547,0.608,0.536,0.13,0.13,0.121,0.085,0.17,0.674,1.409
MESSAGE-GLOBIOM,SSP2-45,World,Primary Energy|Hydro,EJ/yr,10.604,12.872,15.279,16.907,20.696,21.806,23.164,25.64,29.625,34.291,35.678
MESSAGE-GLOBIOM,SSP2-45,World,Primary Energy|Non-Biomass Renewables,EJ/yr,11.657,17.559,32.277,51.217,75.765,98.394,124.71,150.529,173.868,206.592,248.27
MESSAGE-GLOBIOM,SSP2-45,World,Primary Energy|Nuclear,EJ/yr,9.966,9.897,12.626,12.221,11.615,16.711,26.685,49.646,86.029,130.815,154.164
MESSAGE-GLOBIOM,SSP2-45,World,Primary Energy|Oil,EJ/yr,172.635,173.118,207.589,222.998,233.557,231.061,198.697,153.481,115.849,78.167,51.653
MESSAGE-GLOBIOM,SSP2-45,World,Primary Energy|Oil|w/o CCS,EJ/yr,172.635,173.118,207.589,222.998,233.557,231.061,198.697,153.481,115.849,78.167,51.653
MESSAGE-GLOBIOM,SSP2-45,World,Primary Energy|Other,EJ/yr,0,0,0,0,0,0,0,0,0,0,0
MESSAGE-GLOBIOM,SSP2-45,World,Primary Energy|Solar,EJ/yr,0.308,2.479,10.394,20.722,33.071,44.273,53.829,65.588,75.966,93.125,107.098
MESSAGE-GLOBIOM,SSP2-45,World,Primary Energy|Wind,EJ/yr,0.387,1.661,5.996,13.052,21.868,32.185,47.596,59.216,68.107,78.502,104.085
MESSAGE-GLOBIOM,SSP2-45,World,Secondary Energy|Electricity,EJ/yr,65.082,75.476,94.735,116.254,139.181,169.181,211.108,251.452,288.737,334.739,393.839
MESSAGE-GLOBIOM,SSP2-45,World,Secondary Energy|Electricity|Biomass,EJ/yr,0.453,0.789,1.667,1.2,0.474,0.296,0.483,0.82,1.62,2.543,3.366
MESSAGE-GLOBIOM,SSP2-45,World,Secondary Energy|Electricity|Biomass|w/ CCS,EJ/yr,0,0,0,0.004,0.02,0.084,0.262,0.702,1.614,2.539,3.362
MESSAGE-GLOBIOM,SSP2-45,World,Secondary Energy|Electricity|Biomass|w/o CCS,EJ/yr,0.453,0.789,1.667,1.196,0.454,0.212,0.221,0.118,0.006,0.004,0.004
MESSAGE-GLOBIOM,SSP2-45,World,Secondary Energy|Electricity|Coal,EJ/yr,26.318,30.934,31.097,26.93,17.015,11.545,9.438,5.512,1.899,3.03,4.603
MESSAGE-GLOBIOM,SSP2-45,World,Secondary Energy|Electricity|Coal|w/ CCS,EJ/yr,0,0,0,0.015,0.079,0.246,0.587,1.131,1.899,3.03,4.603
MESSAGE-GLOBIOM,SSP2-45,World,Secondary Energy|Electricity|Coal|w/o CCS,EJ/yr,26.318,30.934,31.097,26.915,16.936,11.299,8.851,4.381,0,0,0
MESSAGE-GLOBIOM,SSP2-45,World,Secondary Energy|Electricity|Gas,EJ/yr,13.295,16.408,25.256,43.762,64.838,81.941,93.538,90.503,73.594,43.177,36.894
MESSAGE-GLOBIOM,SSP2-45,World,Secondary Energy|Electricity|Gas|w/ CCS,EJ/yr,0,0,0,0,0,0,0.287,2.265,12.822,31.979,34.512
MESSAGE-GLOBIOM,SSP2-45,World,Secondary Energy|Electricity|Gas|w/o CCS,EJ/yr,13.295,16.408,25.256,43.762,64.838,81.941,93.251,88.238,60.772,11.198,2.382
MESSAGE-GLOBIOM,SSP2-45,World,Secondary Energy|Electricity|Geothermal,EJ/yr,0.204,0.353,0.319,0.181,0.023,0.023,0.014,0.013,0.079,0.565,1.237
MESSAGE-GLOBIOM,SSP2-45,World,Secondary Energy|Electricity|Hydro,EJ/yr,10.604,12.872,15.279,16.907,20.696,21.806,23.164,25.64,29.625,34.291,35.678
MESSAGE-GLOBIOM,SSP2-45,World,Secondary Energy|Electricity|Non-Biomass Renewables,EJ/yr,11.21,15.134,23.178,31.823,44.873,58.252,79.138,101.971,123.302,154.863,196.618
MESSAGE-GLOBIOM,SSP2-45,World,Secondary Energy|Electricity|Nuclear,EJ/yr,9.804,9.764,12.414,11.921,11.334,16.368,26.122,48.371,83.485,126.479,148.622
MESSAGE-GLOBIOM,SSP2-45,World,Secondary Energy|Electricity|Oil,EJ/yr,4.002,2.447,1.123,0.618,0.277,0.097,0.025,0,0,0,0
MESSAGE-GLOBIOM,SSP2-45,World,Secondary Energy|Electricity|Solar,EJ/yr,0.015,0.248,1.584,1.683,2.286,4.238,8.364,17.102,25.491,41.505,55.618
